Name	Sex	Korean	Math	English
Park	F	92	100	84
Kim	M	76	29	80
Choi	M	90	97	84
Park	M	100	67	77
Kim	F	91	48	64
Park	M	83	15	59
Kim	F	70	53	56
Park	M	90	65	54
Kim	F	73	44	83
Park	M	52	30	76
Choi	F	77	71	73
Choi	F	73	41	64
Park	F	86	79	89
Hong	F	88	78	76
Kim	M	100	63	71
Choi	M	62	43	68
Kim	F	77	100	68
Choi	F	90	66	68
Choi	M	83	76	46
Kim	F	63	85	60
Kim	F	67	48	70
Hong	M	66	49	65
Park	F	76	22	66
Park	F	81	69	75
Choi	M	74	45	76
Choi	F	76	47	71
Hong	M	98	57	61
Hong	F	100	57	81
Park	M	87	74	61
Hong	F	86	57	64
Kim	M	76	34	63
Hong	M	86	55	69
Choi	M	84	95	54
Kim	F	81	80	68
Hong	M	81	51	76
Choi	M	87	71	73
Choi	F	92	94	68
Park	M	83	61	71
Choi	F	76	56	70
Kim	M	72	58	69
Hong	M	84	68	60
Choi	F	68	47	82
Choi	M	64	50	71
Park	M	78	61	52
Kim	F	75	81	70
Choi	M	84	53	71
Choi	F	98	33	75
Park	F	95	59	77
Kim	M	77	61	76
Kim	M	64	39	78
Hong	F	80	59	57
Choi	F	73	44	66
Park	F	83	34	67
Kim	F	87	80	78
Hong	F	59	96	83
Park	M	78	70	72
Hong	F	86	67	70
Kim	F	83	80	63
Hong	F	66	84	69
Hong	F	79	81	86
Kim	M	61	49	69
Kim	M	82	66	74
Choi	F	77	32	53
Hong	F	80	65	70
Hong	M	75	73	78
Park	F	73	36	63
Hong	F	83	43	73
Hong	F	91	49	71
Choi	F	65	75	75
Park	F	97	70	66
Park	M	95	54	84
Choi	M	89	59	63
Park	F	93	32	61
Hong	F	78	42	65
Park	F	85	70	66
Hong	M	88	50	71
Kim	F	79	61	70
Choi	F	64	72	71
Hong	M	93	56	61
Park	M	80	42	62
Park	M	79	49	74
Kim	F	93	64	79
Park	M	79	59	81
Kim	M	69	59	71
Choi	M	82	51	63
Kim	F	87	29	56
Hong	F	66	30	67
Kim	M	74	41	70
Kim	M	96	67	71
Park	F	88	51	62
Kim	M	74	94	68
Choi	M	69	52	72
Park	M	73	61	93
Choi	M	75	67	72
Choi	M	81	58	69
Park	F	76	68	63
Park	F	81	82	64
Park	M	88	44	62
Park	M	90	71	63
Park	F	61	68	52
Hong	M	85	88	66
Choi	F	90	64	76
Kim	F	87	85	60
Kim	F	69	51	68
Park	M	74	46	70
Hong	F	90	27	57
Hong	M	70	46	81
Choi	F	83	85	69
Hong	M	67	58	61
Park	M	78	44	64
Park	M	90	48	73
Hong	M	76	55	56
Park	F	84	68	79
Park	F	77	82	76
Park	M	54	76	61
Kim	M	71	45	69
Kim	M	75	90	59
Kim	M	64	70	65
Kim	F	79	79	71
Hong	F	61	48	89
Kim	F	63	90	60
Park	F	81	71	58
Hong	M	72	55	72
Choi	M	71	44	64
Choi	F	74	65	79
Park	M	78	65	79
Hong	M	90	54	62
Choi	F	89	66	77
Choi	M	66	89	97
Park	M	96	100	75
Choi	F	72	48	63
Kim	M	78	48	70
Kim	F	77	64	51
Hong	M	66	39	71
Choi	M	90	60	62
Park	F	93	57	51
Kim	F	84	61	84
Park	M	70	54	68
Park	F	88	49	72
Kim	M	91	7	75
Choi	F	75	33	56
Park	F	92	41	68
Park	F	56	80	65
Hong	M	89	45	72
Hong	F	76	57	70
Kim	F	97	81	73
Choi	F	86	51	70
Hong	F	94	65	60
Hong	F	71	43	71
Hong	M	100	80	63
Choi	F	92	75	82
Kim	F	64	77	69
Choi	M	78	49	75
Hong	M	68	62	84
Park	F	73	100	66
Choi	M	70	82	91
Kim	M	92	37	68
Kim	F	71	90	70
Kim	M	95	70	54
Kim	F	71	68	67
Kim	M	96	53	67
Hong	M	88	54	59
Hong	F	96	76	88
Hong	M	82	100	75
Park	M	88	83	61
Hong	F	65	86	56
Kim	F	88	57	94
Park	M	63	75	54
Park	M	83	74	77
Park	F	98	83	64
Kim	M	77	47	83
Park	M	60	46	76
Kim	M	84	71	59
Choi	M	78	64	69
Choi	M	87	32	72
Kim	M	80	100	69
Park	M	78	58	66
Choi	F	86	50	54
Park	M	72	65	85
Hong	F	85	72	67
Kim	F	81	65	77
Choi	F	82	45	73
Kim	F	82	53	67
Kim	F	77	50	79
Park	M	71	60	70
Kim	F	66	38	64
Park	F	98	48	64
Kim	F	83	31	76
Hong	F	82	50	60
Kim	F	88	65	86
Kim	F	71	40	89
Park	F	69	52	56
Hong	M	95	72	63
Park	F	83	42	58
Kim	F	99	67	77
Choi	F	79	36	54
Park	M	97	55	77
Choi	M	75	87	63
Park	F	86	59	82
Kim	F	91	77	75
Park	F	59	42	78
Kim	M	88	83	68
Park	M	89	75	71
Hong	F	91	64	67
Park	F	87	41	61
Hong	F	74	80	68
Park	M	95	75	67
Choi	F	80	64	68
Kim	M	82	55	69
Hong	F	86	55	67
Choi	M	98	51	95
Kim	F	78	48	89
Park	F	69	48	91
Hong	F	71	58	71
Park	M	76	66	56
Hong	F	78	6	67
Kim	F	86	54	58
Choi	F	87	57	66
Kim	M	79	45	77
Kim	M	75	70	72
Park	F	76	76	54
Kim	F	87	60	60
Park	M	92	75	79
Hong	M	81	78	71
Hong	F	71	52	66
Kim	F	94	46	97
Kim	M	78	72	73
Hong	M	94	44	74
Kim	F	88	95	75
Park	F	83	52	57
Hong	F	54	52	52
Kim	F	72	28	79
Park	F	71	67	63
Kim	F	88	67	54
Choi	F	76	63	59
Park	M	81	31	66
Kim	M	94	82	64
Choi	F	97	84	69
Kim	F	84	53	79
Hong	F	72	44	72
Park	M	96	48	59
Hong	F	71	99	70
Park	F	83	44	62
Hong	F	78	72	74
Park	F	72	48	77
Park	F	88	74	80
Park	F	80	100	80
Hong	F	51	51	88
Hong	M	96	68	78
Park	F	80	85	74
Park	M	76	92	80
Hong	M	78	47	72
Hong	M	62	27	64
Kim	M	71	73	72
Choi	F	87	64	67
Hong	F	95	28	58
Kim	F	92	65	67
Hong	F	87	95	72
Hong	F	87	39	53
Choi	M	93	50	71
Choi	M	73	81	62
Hong	M	68	63	70
Hong	F	90	93	67
Hong	M	67	73	63
Hong	F	78	58	69
Hong	M	78	53	64
Park	M	69	40	71
Hong	M	81	48	65
Choi	F	77	85	66
Park	M	73	86	73
Park	F	78	84	61
Kim	M	96	55	74
Park	M	81	100	70
Hong	F	71	76	78
Kim	F	95	67	95
Choi	F	72	32	63
Park	M	76	69	84
Park	F	87	40	66
Park	M	86	57	65
Kim	F	80	57	75
Park	F	82	36	65
Park	M	53	79	58
Hong	F	69	28	70
Hong	F	85	55	77
Kim	M	75	24	72
Hong	M	72	35	78
Park	M	82	44	86
Hong	F	95	60	68
Park	M	83	53	74
Park	F	74	40	81
Hong	F	83	56	64
Choi	M	77	53	66
Choi	F	79	61	90
Hong	F	63	71	73
Choi	F	90	55	70
Park	M	84	21	74
Park	F	98	57	70
Park	M	78	55	74
Kim	F	97	54	80
Choi	M	92	58	67
Hong	M	72	69	79
Kim	F	68	38	55
Choi	M	63	89	72
Park	F	80	69	61
Hong	F	74	40	73
Choi	M	82	46	71
Kim	F	82	44	70
Choi	M	69	69	71
Park	M	83	55	100
Kim	M	79	55	82
Kim	F	100	57	69
Choi	M	68	59	71
Kim	F	99	73	85
Kim	F	74	57	60
Hong	F	71	78	75
Park	F	81	73	67
Park	M	73	92	70
Kim	F	78	61	62
Park	F	96	59	69
Park	F	88	72	77
Hong	M	69	83	57
Park	F	74	58	41
Park	F	92	75	73
Kim	M	84	36	79
Hong	M	69	14	62
Park	F	84	49	73
Choi	F	78	73	91
Kim	F	95	55	51
Hong	F	97	65	77
Kim	M	77	56	69
Hong	F	74	91	62
Choi	F	80	63	77
Park	F	72	64	73
Park	F	85	44	58
Hong	M	71	74	68
Park	F	99	43	66
Kim	M	77	61	81
Hong	F	86	98	58
Hong	F	85	59	89
Park	M	67	42	74
Kim	F	88	63	69
Kim	F	83	63	68
Kim	M	100	77	69
Park	F	94	47	42
Hong	M	77	99	86
Choi	F	89	79	76
Kim	F	89	81	72
Kim	F	70	48	64
Kim	M	93	82	73
Park	F	89	90	85
Hong	M	92	74	69
Park	M	77	47	74
Kim	F	84	52	66
Park	M	75	39	79
Park	M	97	84	73
Park	F	77	57	71
Hong	M	78	54	61
Kim	M	86	43	70
Park	F	92	49	53
Kim	M	79	42	69
Choi	F	84	78	82
Kim	F	72	33	62
Park	M	100	100	60
Kim	M	69	39	70
Park	F	76	52	84
Hong	M	76	64	96
Kim	F	87	21	44
Hong	M	88	24	71
Kim	F	86	20	69
Park	M	97	44	62
Hong	M	75	72	77
Kim	M	84	68	74
Kim	M	73	89	57
Kim	M	90	59	60
Choi	M	68	72	73
Park	F	79	37	60
Park	M	87	22	90
Choi	M	82	87	51
Hong	F	76	31	80
Choi	M	83	52	74
Park	F	72	100	44
Park	M	85	18	61
Park	M	92	53	78
Choi	F	85	39	63
Park	F	79	71	59
Park	M	75	85	79
Kim	F	73	82	80
Park	F	73	70	66
Park	M	95	61	59
Park	M	85	50	58
Choi	F	82	58	61
Park	M	80	75	75
Hong	F	86	32	73
Kim	M	89	51	60
Kim	F	82	46	82
Kim	F	74	46	53
Kim	F	84	44	70
Kim	F	86	65	70
Park	F	88	100	75
Choi	M	75	76	70
Hong	F	100	77	68
Choi	F	62	67	82
Park	M	95	37	59
Hong	M	85	58	74
Hong	M	93	60	65
Hong	M	88	25	59
Kim	M	77	79	55
Hong	M	69	60	83
Park	M	84	95	57
Kim	M	79	47	62
Kim	M	81	25	66
Park	M	72	79	64
Choi	M	72	42	86
Choi	F	74	33	82
Kim	F	82	36	61
Park	M	86	47	63
Choi	M	89	41	69
Choi	M	75	56	61
Park	M	87	74	63
Hong	M	82	32	60
Choi	M	70	72	62
Kim	M	83	45	77
Park	F	95	28	70
Choi	F	92	69	63
Kim	M	80	100	78
Choi	M	79	61	63
Kim	F	81	45	74
Choi	M	71	100	56
Choi	F	92	68	79
Kim	F	69	53	72
Choi	M	75	72	45
Choi	M	70	73	68
Park	F	71	46	61
Park	F	79	53	69
Hong	M	100	51	69
Kim	F	60	78	76
Hong	F	71	16	63
Hong	F	79	86	80
Hong	F	78	53	77
Kim	F	82	62	64
Park	F	72	23	65
Kim	F	58	38	81
Hong	F	74	44	68
Choi	F	74	56	58
Choi	M	79	48	42
Choi	M	92	41	73
Hong	F	75	69	54
Choi	F	83	70	59
Park	F	69	68	76
Park	M	87	18	75
Kim	F	74	54	70
Hong	F	95	91	73
Kim	F	67	100	54
Choi	M	75	61	75
Kim	M	95	44	73
Choi	F	73	85	69
Park	F	78	71	72
Choi	M	79	70	58
Park	F	77	57	87
Kim	F	83	54	78
Park	M	73	49	45
Hong	F	86	100	64
Hong	F	90	94	64
Kim	M	89	57	94
Kim	M	73	62	78
Kim	M	77	45	71
Park	M	83	70	73
Kim	F	78	68	51
Kim	F	71	49	62
Park	F	68	59	63
Hong	F	84	100	78
Kim	M	64	44	71
Kim	M	75	100	57
Park	M	98	21	60
Park	M	87	53	72
Park	M	74	63	74
Hong	F	75	67	85
Park	M	88	69	64
Hong	F	85	53	80
Choi	M	83	86	73
Hong	M	73	72	56
Hong	F	98	85	70
Park	F	89	54	77
Choi	F	78	24	79
Kim	M	83	19	55
Choi	M	78	71	84
Hong	M	91	53	75
Choi	M	72	50	88
Choi	F	70	74	70
Hong	F	84	54	66
Park	F	86	55	63
Hong	M	76	83	63
Kim	M	100	77	71
Park	F	73	66	51
Hong	F	76	67	77
Choi	F	68	67	83
Hong	M	88	45	61
Park	M	88	67	78
Hong	M	93	93	55
Hong	M	77	62	64
Choi	M	83	69	80
Choi	M	76	60	67
Kim	F	70	59	59
Hong	M	74	68	75
Kim	M	74	41	64
Kim	M	86	21	56
Hong	F	80	41	80
Hong	F	99	65	73
Hong	M	77	62	80
Kim	M	86	39	69
Choi	M	86	35	67
Park	F	70	51	71
Choi	M	88	52	59
Hong	M	69	62	65
Kim	M	71	44	79
Kim	F	92	50	71
Choi	M	70	50	81
Park	M	96	78	75
Kim	M	81	36	54
Hong	M	91	73	69
Choi	M	81	48	68
Park	M	75	67	66
Choi	F	86	60	65
Kim	M	78	95	69
Park	F	73	38	72
Kim	F	62	56	62
Kim	M	78	57	85
Park	M	95	65	79
Park	M	68	41	60
Kim	M	51	56	71
Hong	F	82	64	69
Choi	F	65	91	69
Park	F	76	46	80
Hong	M	75	53	58
Park	F	71	85	87
Kim	M	75	59	56
Choi	F	89	41	62
Choi	M	68	66	83
Kim	F	68	82	68
Hong	F	69	59	75
Kim	M	76	100	76
Kim	F	61	99	65
Park	F	87	45	78
Park	M	77	70	77
Hong	F	68	43	80
Kim	M	77	74	35
Hong	M	64	66	76
Hong	M	83	64	69
Kim	M	75	63	77
Hong	F	70	63	71
Park	F	78	56	68
Choi	F	85	43	56
Hong	M	73	75	76
Kim	M	82	98	86
Kim	M	79	62	69
Choi	F	87	70	80
Hong	F	83	59	67
Park	F	76	85	67
Kim	M	61	56	73
Park	M	77	58	62
Hong	M	79	81	84
Hong	F	89	55	70
Choi	F	88	39	67
Kim	M	95	80	77
Hong	M	92	60	67
Kim	F	92	59	74
Choi	M	76	89	74
Kim	F	84	78	57
Kim	F	92	70	60
Hong	F	70	49	85
Choi	F	78	91	63
Choi	F	64	45	63
Hong	M	99	76	76
Hong	F	78	72	63
Kim	M	79	34	74
Park	F	84	71	78
Park	F	73	55	51
Choi	F	64	81	57
Choi	F	73	66	66
Kim	F	84	25	75
Choi	M	94	70	73
Park	F	64	80	78
Kim	F	92	64	58
Choi	F	84	50	75
Hong	F	84	38	60
Hong	F	80	90	71
Kim	F	73	77	82
Choi	F	88	62	53
Hong	M	83	69	61
Hong	M	64	100	77
Hong	F	61	48	75
Kim	M	71	20	61
Kim	M	78	31	63
Kim	F	71	77	98
Kim	F	92	54	75
Park	M	69	64	74
Choi	F	75	68	58
Hong	F	63	69	72
Kim	M	83	38	68
Choi	F	84	62	88
Kim	F	97	57	88
Choi	F	97	68	87
Choi	F	100	24	53
Hong	M	85	49	79
Choi	M	63	57	68
Choi	F	72	53	67
Choi	F	57	43	85
Choi	F	94	44	77
Park	M	84	63	65
Park	F	87	98	62
Park	F	76	74	72
Choi	F	81	35	60
Choi	F	75	50	86
Park	F	82	58	83
Hong	F	81	14	64
Kim	F	63	69	92
Park	F	92	64	71
Park	F	77	59	64
Kim	F	83	16	41
Choi	M	62	42	81
Choi	F	77	36	64
Hong	F	77	-2	80
Choi	M	89	58	78
Park	F	96	42	81
Hong	M	78	42	63
Choi	F	97	63	82
Kim	F	83	71	62
Park	F	68	54	73
Kim	M	91	75	64
Park	M	84	47	75
Park	M	83	53	81
Choi	M	69	58	47
Kim	F	93	70	71
Hong	M	84	10	84
Kim	F	88	78	89
Hong	M	100	100	74
Choi	F	90	63	64
Kim	M	82	42	54
Choi	M	83	24	76
Park	M	98	51	69
Park	M	75	55	83
Kim	M	92	68	69
Hong	F	67	50	52
Choi	M	80	80	74
Park	F	79	68	78
Hong	F	63	56	86
Park	F	68	46	89
Park	M	67	64	55
Choi	M	71	44	83
Park	F	84	58	82
Hong	M	99	64	58
Choi	F	74	100	75
Kim	F	100	71	66
Hong	F	66	36	67
Kim	M	84	61	63
Hong	M	82	5	73
Park	M	92	52	66
Choi	M	64	19	54
Hong	M	95	66	86
Hong	F	63	60	68
Kim	M	73	46	73
Choi	M	93	33	57
Choi	F	78	74	92
Choi	M	58	28	79
Kim	F	85	65	76
Park	M	81	84	78
Choi	F	80	62	69
Hong	F	98	34	62
Park	F	83	61	81
Hong	M	73	35	77
Park	F	92	54	65
Choi	F	70	56	79
Hong	F	62	38	79
Park	F	66	60	71
Park	F	100	69	76
Choi	F	67	38	74
Park	F	66	63	73
Park	M	79	82	55
Kim	M	80	84	75
Park	M	77	67	67
Hong	F	74	59	76
Hong	M	74	76	65
Choi	F	94	72	51
Hong	F	96	84	53
Park	F	69	29	73
Choi	F	93	55	78
Choi	F	80	48	65
Kim	M	74	12	65
Kim	M	98	59	67
Choi	M	89	93	80
Park	M	85	74	85
Kim	M	80	55	59
Choi	F	92	52	63
Kim	M	95	74	65
Park	M	76	32	72
Choi	M	67	71	69
Choi	M	81	69	71
Choi	F	81	58	83
Hong	M	84	45	71
Choi	F	70	68	75
Hong	F	83	55	68
Kim	M	70	36	59
Hong	M	85	58	73
Kim	M	83	57	68
Park	M	76	28	77
Kim	M	86	55	65
Choi	M	71	71	75
Kim	M	47	76	69
Kim	M	88	72	66
Choi	M	80	62	59
Park	M	70	42	66
Kim	M	85	100	54
Hong	F	75	39	71
Park	F	68	48	61
Hong	M	72	51	69
Park	M	68	100	69
Hong	M	89	30	71
Park	M	84	66	56
Kim	F	75	76	67
Hong	M	84	64	77
Hong	F	62	24	67
Park	F	77	71	61
Park	F	72	74	75
Choi	F	89	28	70
Park	F	88	35	74
Choi	F	76	59	62
Hong	M	88	65	68
Choi	M	78	57	76
Park	M	79	27	66
Choi	M	80	48	57
Kim	F	74	44	58
Hong	M	81	83	57
Choi	F	73	39	78
Park	F	90	39	67
Kim	M	82	24	46
Choi	M	90	69	85
Hong	F	66	62	58
Park	M	80	56	77
Hong	F	77	44	69
Hong	M	96	32	61
Hong	F	87	84	60
Park	M	95	56	52
Hong	F	66	61	77
Hong	F	57	96	73
Choi	M	86	83	79
Park	F	95	58	64
Park	F	85	73	75
Choi	M	70	68	60
Kim	F	66	62	62
Park	F	71	16	55
Hong	F	69	63	54
Hong	F	94	43	74
Park	M	86	39	60
Choi	M	90	89	76
Park	M	75	48	79
Park	M	91	64	62
Kim	F	91	43	75
Hong	F	81	56	68
Hong	F	84	75	71
Choi	F	76	87	80
Kim	M	61	90	73
Hong	M	84	41	73
Park	M	75	87	79
Kim	M	74	41	80
Choi	F	75	77	62
Kim	F	80	65	76
Park	M	95	73	75
Choi	M	98	70	63
Kim	F	84	77	69
Choi	F	95	77	81
Park	M	73	61	70
Hong	F	71	79	84
Hong	F	92	60	70
Choi	M	93	68	74
Park	F	80	93	52
Park	F	77	56	87
Choi	F	78	27	85
Kim	F	70	49	76
Hong	M	78	50	73
Hong	M	86	42	74
Hong	F	84	68	80
Hong	M	88	84	72
Park	M	86	45	83
Hong	F	78	78	68
Kim	F	74	62	84
Park	M	71	80	78
Choi	F	81	60	70
Hong	F	66	66	48
Park	M	73	80	83
Choi	F	71	68	65
Hong	M	82	72	72
Choi	F	85	60	56
Park	M	79	74	65
Park	F	63	38	72
Choi	F	79	44	83
Park	M	79	53	68
Choi	M	78	52	76
Choi	F	88	55	66
Park	F	82	68	81
Hong	M	77	35	58
Park	F	83	26	86
Kim	F	80	71	70
Choi	M	79	73	60
Hong	F	61	47	58
Hong	F	87	75	62
Hong	F	76	59	69
Hong	F	76	81	60
Hong	F	51	88	57
Park	F	80	63	70
Kim	M	82	14	70
Hong	M	83	29	80
Kim	M	87	49	86
Park	M	74	73	58
Park	M	84	90	90
Kim	M	77	35	49
Choi	M	76	62	76
Kim	M	69	57	54
Hong	F	83	23	94
Hong	F	91	48	57
Hong	M	63	6	67
Park	M	87	80	72
Hong	M	89	57	60
Hong	M	75	60	87
Park	F	100	58	63
Kim	F	74	58	87
Choi	M	71	51	75
Choi	M	89	34	75
Park	M	71	48	60
Choi	M	79	59	66
Hong	F	79	51	74
Choi	F	82	55	67
Park	M	79	74	71
Choi	M	76	66	80
Park	F	72	67	69
Hong	M	82	17	49
Kim	F	70	46	74
Hong	M	87	71	60
Kim	F	78	68	49
Kim	F	70	55	71
Hong	F	85	36	78
Choi	M	72	33	59
Park	F	87	60	75
Hong	F	73	81	63
Hong	F	89	68	74
Choi	F	82	48	78
Park	F	80	42	79
Hong	M	93	53	60
Park	M	79	17	71
Kim	F	78	37	47
Choi	F	83	53	67
Kim	F	74	50	68
Choi	M	83	78	72
Choi	F	72	55	62
Hong	F	82	51	59
Choi	F	59	64	56
Choi	M	95	55	67
Kim	F	55	80	73
Hong	F	62	42	52
Park	F	87	55	58
Hong	F	90	45	68
Kim	F	85	71	77
Kim	F	83	44	72
Kim	M	58	58	65
Park	F	76	75	75
Hong	M	84	62	61
Hong	F	74	81	82
Choi	M	82	39	64
Kim	M	84	50	52
Kim	F	87	39	61
Hong	F	79	54	64
Hong	M	68	52	79
Choi	M	89	79	62
Hong	F	58	85	63
Kim	M	81	62	71
Choi	M	100	78	80
Park	M	86	14	68
Park	F	84	95	67
Hong	M	87	42	79
Choi	F	70	48	74
Park	M	67	63	63
Park	F	68	81	72
Choi	M	76	77	76
Kim	F	65	52	64
Park	F	88	63	58
Kim	M	83	60	68
Choi	M	83	56	80
Hong	M	79	74	74
Park	F	75	36	65
Kim	F	63	95	77
Hong	M	81	17	64
Kim	F	85	44	75
Choi	F	86	65	76
Hong	F	75	85	87
Park	M	74	93	73
Choi	F	86	59	81
Park	M	74	62	54
Park	M	96	36	66
Hong	F	84	100	71
Park	F	88	31	62
Kim	F	90	76	70
Choi	M	78	41	75
Park	F	92	48	69
Hong	M	82	55	71
Hong	F	81	47	77
Choi	M	64	83	73
Choi	F	67	39	93
Choi	M	68	24	74
Choi	M	90	83	71
Park	F	83	100	59
Hong	F	76	64	75
Park	M	98	56	84
Hong	F	91	43	78
Kim	F	72	37	51
Kim	M	73	50	55
Choi	F	98	77	61
Hong	M	78	82	71
Park	F	90	60	75
Kim	F	97	71	76
Kim	F	69	69	80
Park	M	91	55	79
Choi	F	76	88	67
Hong	F	65	53	70
Hong	F	80	71	71
Hong	F	95	72	61
Park	F	85	78	69
Choi	F	76	64	81
Park	F	77	28	60
Park	F	97	46	68
Kim	M	73	89	77
Choi	M	80	60	64
Kim	M	88	62	80
Park	F	59	69	92
Hong	F	86	51	83
Park	F	87	66	68
Park	M	77	79	59
Park	M	88	68	78
Hong	M	83	86	77
Hong	M	89	51	74
Choi	M	77	48	77
Choi	M	57	54	80
Kim	F	61	84	92
Kim	F	67	46	70
Choi	F	95	57	67
Park	M	77	39	60
Park	M	83	20	76
Choi	M	73	67	54
Hong	F	96	26	88
Hong	M	81	44	82
Kim	M	72	40	59
Kim	F	77	75	68
Park	M	85	68	65
Kim	F	69	73	83
Hong	F	93	82	60
Park	F	88	60	79
Park	M	70	55	79
Park	F	75	93	75
Hong	M	78	48	67
Choi	F	80	77	73
Park	F	85	65	76
Kim	F	88	63	72
Choi	F	77	52	70
Kim	M	83	66	67
Park	M	73	72	72
Choi	M	95	95	80
Choi	M	73	30	66
Hong	F	76	88	67
Choi	M	84	62	74
Hong	M	77	61	77
Kim	M	79	50	80
Choi	F	100	52	63
Hong	M	86	70	53
Hong	M	100	41	81
Hong	F	79	76	77
Hong	F	89	43	70
Hong	M	86	62	82
Choi	M	72	67	63
Park	F	93	57	80
Kim	F	80	35	75
Park	M	93	50	61
Kim	M	83	88	78
Park	F	59	15	73
Park	M	86	66	84
Choi	M	64	71	72
Kim	M	94	88	70
Park	F	88	52	82
Choi	F	80	29	52
Hong	F	86	43	73
Park	F	81	38	77
Park	F	73	50	72
Choi	M	88	52	63
Hong	M	71	71	63
Park	M	75	63	80
Hong	M	71	62	71
Choi	M	75	96	75
Kim	M	70	33	56
Park	F	85	79	63
Choi	F	95	92	59
Kim	F	79	53	63
Hong	F	100	32	77
Kim	M	80	68	65
Hong	F	75	60	65
Kim	F	81	49	84
Hong	M	84	38	76
Hong	M	78	72	53
Park	F	89	67	66
Hong	M	71	54	84
Park	M	83	61	73
Kim	F	71	92	71
Choi	F	76	100	89
Park	F	83	62	83
Hong	F	86	67	86
Kim	M	82	53	57
Hong	F	80	21	68
Kim	M	75	35	71
Choi	F	74	78	79
Park	F	79	62	66
Hong	M	74	41	76
Park	F	92	78	61
Park	M	87	59	79
Hong	M	79	83	82
Park	M	91	19	81
Choi	M	85	67	62
Park	M	66	57	68
Kim	F	78	62	81
Park	M	72	32	77
Hong	M	71	55	64
Park	M	84	-4	83
Hong	F	89	29	83
Hong	M	74	61	69
Kim	M	85	100	52
Park	M	78	63	79
Hong	M	80	61	55
Kim	F	82	30	90
Park	M	85	26	61
Hong	F	85	99	72
Choi	F	83	66	59
Hong	F	63	59	75
Choi	M	77	42	71
Park	M	84	51	72
Kim	M	100	31	51
Kim	F	63	20	56
Kim	M	85	98	67
Kim	M	72	69	60
Choi	F	77	61	67
Kim	M	84	90	74
Park	M	96	45	82
Kim	M	89	57	72
Hong	M	65	67	57
Hong	M	87	74	89
Hong	M	80	75	80
Choi	F	75	50	68
Choi	F	81	29	86
Park	M	83	77	86
Choi	M	63	93	75
Choi	M	81	52	88
Choi	F	74	14	68
Park	F	72	100	73
Kim	F	62	53	65
Park	M	63	62	81
Park	M	65	66	63
Kim	M	75	64	78
Choi	M	75	59	69
Kim	M	69	44	76
Hong	F	78	66	64
Kim	M	86	22	48
Choi	M	99	76	83
